Country_name,year2018
Åland Islands,
Afghanistan,0.52
Algeria,0.96
Albania,1
Zimbabwe,1.06
Lesotho,1.18
American Samoa,  
Andorra,1
Angola,0.83
Anguilla,  
Antigua and Barbuda,  
Argentina,1
Armenia,1
Aruba,1
Australia,  
Austria,  
Azerbaijan,1
Bahamas,  
Bahrain,0.99
Bangladesh,1.03
Barbados,  
Belarus,1
Belgium,  
Belize,  
Benin,0.64
Bermuda,  
Bhutan,0.93
Bolivia,1
Bosnia and Herzegovina,1
Botswana,  
Brazil,1.01
British Virgin Islands,  
Brunei Darussalam,1
Bulgaria,1
Burkina Faso,0.77
Burundi,0.88
Cabo Verde,1.01
Cambodia,0.97
Cameroon,0.89
Canada,  
Cayman Islands,  
Central African Republic,0.55
Chad,0.55
Channel Islands,  
Chile,1
China,1
"Hong Kong, China",  
"Macao, China",1
Colombia,1.01
Comoros,0.94
Congo,0.9
Cook Islands (New Zealand),  
Costa Rica,1
Côte d’Ivoire,0.8
Croatia,1
Cuba,1
Curaçao,  
Cyprus,1
Czech Republic,  
Democratic People’s Republic of Korea,1
Democratic Republic of the Congo,0.88
Denmark,  
Djibouti,  
Dominica,  
Dominican Republic,1.01
Ecuador,1
Egypt,0.96
El Salvador,1.01
Equatorial Guinea,  
Eritrea,0.9
Estonia,1
Ethiopia,  
Faeroe Islands,  
Falkland Islands (Malvinas),  
Fiji,  
Finland,  
France,  
French Guiana,  
French Polynesia,  
Gabon,1.02
Gambia,0.85
Georgia,1
Germany,  
Ghana,0.94
Gibraltar,  
Greece,1
Greenland,1
Grenada,  
Guadeloupe,  
Guam,  
Guatemala,0.98
Guernsey,  
Guinea,0.65
Guinea-Bissau,0.7
Guyana,1.01
Haiti,  
Holy See,  
Honduras,1.02
Hungary,  
Iceland,  
India,0.91
Indonesia,1
Iran,0.99
Iraq,0.85
Ireland,  
Isle of Man,  
Israel,  
Italy,1
Jamaica,  
Japan,  
Jersey,  
Jordan,1
Kazakhstan,1
Kenya,0.99
Kiribati,  
Kuwait,1
Kyrgyzstan,1
Lao People’s Democratic Republic,0.87
Latvia,1
Lebanon,1
Liberia,  
Libya,  
Liechtenstein,  
Lithuania,1
Luxembourg,  
Madagascar,0.96
Malawi,1.01
Malaysia,1
Maldives,1
Mali,0.65
Malta,1.01
Marshall islands,1.01
Martinique,  
Mauritania,  
Mauritius,1.01
Mayotte,  
Mexico,1
Micronesia,  
Monaco,  
Mongolia,1.01
Montenegro,1
Montserrat,  
Morocco,0.93
Mozambique,0.71
Myanmar,0.99
Namibia,1.02
Nauru,  
Nepal,0.89
Netherlands,  
Netherlands Antilles,  
New Caledonia,  
New Zealand,  
Nicaragua,  
Niger,0.44
Nigeria,0.77
Niue,  
Norfolk Island,  
Northern Mariana Islands,  
Norway,  
Oman,1
Pakistan,0.82
Palau,1.01
State of Palestine,1
Panama,0.99
Papua New Guinea,  
Paraguay,1.01
Peru,1
Philippines,1.01
Pitcairn,  
Poland,  
Portugal,1
Puerto Rico (USA),1
Qatar,1.01
Republic of Korea,  
Moldova,1
Réunion,  
Romania,1
Russian Federation,1
Rwanda,1.03
Saint Helena,  
Saint Kitts and Nevis,  
Saint Lucia,  
Saint Pierre and Miquelon,  
Saint Vincent and the Grenadines,  
Saint Barthelemy,  
Saint Martin,  
Samoa,1
San Marino,  
Sao Tome and Principe,0.99
Saudi Arabia,1
Senegal,0.83
Serbia,1
Seychelles,1.01
Sierra Leone,0.79
Singapore,1
Sint Maarten,  
Slovakia,  
Slovenia,  
Solomon islands,  
Somalia,  
South Africa,1.01
South Sudan,0.67
Spain,1
Sri Lanka,1.01
Sudan,0.91
Sudan (pre-secession),  
Suriname,0.99
Svalbard and Jan Mayen Islands,  
Swaziland,1.03
Sweden,  
Switzerland,  
Syrian Arab Republic,  
Tajikistan,  
Thailand,1
The former Yugoslav Republic of Macedonia,  
Timor-Leste,0.98
Togo,0.87
Tokelau,  
Tonga,1
Trinidad and Tobago,  
Tunisia,0.99
Turkey,0.99
Turkmenistan,  
Turks and Caicos Islands,  
Tuvalu,  
Uganda,0.95
Ukraine,1
United Arab Emirates,  
United Kingdom,  
Tanzania,0.97
United States of America,  
United States Virgin Islands,  
Uruguay,1.01
Uzbekistan,1
Vanuatu,  
Venezuela,1.01
Viet Nam,0.99
Wallis and Futuna Islands,  
Western Sahara,  
Yemen,  
Zambia,0.95
